Status,Company,City,ST,Zone,Address,Phone,SuggestedAction,Notes
Active,"P.A. Landers, Inc",Hanover,MA,Zone 1 · book this month,351 Winter St,(781) 826-8818,In-person QBR + referral ask,Also on drop-off list (H2 route). Your flagship local proof story.
Active,Averill Electric Co.,South Easton,MA,Zone 1 · book this month,28 Norfolk Ave,(781) 963-3698,In-person check-in,20 min out. Pair with W1 or B1 route day.
Active,Mortgage Equity Partners,Lynnfield,MA,Zone 2 · day trip,220 Broadway Ste 205,(781) 309-1800,Book on-site visit,"North Shore. Compliance vertical, expansion potential."
Active,Veristat,Southborough,MA,Zone 2 · day trip,134 Turnpike Rd Ste 200,(508) 429-7340,Book on-site visit,700 person CRO. Biggest active account expansion play.
Active,Quilt Software,New York,NY,Remote relationship,,,Video QBR,
Active,AI Media Group,New York,NY,Remote relationship,,,Video QBR,
Active,John Andrade Insurance,Bristol,RI,Zone 2 · day trip,,,Book on-site visit,About an hour. Worth one trip per quarter.
Active,Beacon Capital Partners,Boston,MA,Zone 2 · day trip,,,Book on-site visit,
Active,Daigle Oil,Fort Kent,ME,Remote relationship,,,Video QBR,
Active,Edesia Nutrition,North Kingstown,RI,Zone 2 · day trip,,,Book on-site visit,"75 min. Mission-driven manufacturer, good story account."
Active,Jackson Lumber & Millwork,Lawrence,MA,Zone 2 · day trip,,,Book on-site visit,
Active,Grace Farms,New Canaan,CT,Remote relationship,,,Video QBR,
Active,Specialty Lighting Group,Portland,CT,Remote relationship,,,Video QBR,
Cold,Linchris Hotel Group,Plymouth,MA,Zone 1 · book this month,225 Water St Ste A125,(781) 826-8824,Walk down the hall,SAME BUILDING as the 5PT office at 225 Water St. Easiest re-engagement on this sheet.
Cold,Society of Mayflower Descendants,Plymouth,MA,Zone 1 · book this month,4 Winslow St (verify),,Drop by on a Plymouth day,Home turf nonprofit.
Cold,Town of Mansfield,Mansfield,MA,Zone 2 · day trip,,,Book meeting,"Municipal, slower cycle."
Cold,Epiphany School,Boston (Dorchester),MA,Zone 2 · day trip,,,Book visit,"Private school, budget season matters."
Cold,Markley Group,Boston,MA,Zone 2 · day trip,,,Book meeting,"Data center operator, partner angle too."
Cold,Lynn Community Health Center,Lynn,MA,Zone 2 · day trip,,,Book meeting,Also appears on 2026 target list.
Cold,South Boston Community Health Center,Boston,MA,Zone 2 · day trip,,,Book meeting,
Cold,Madison International Realty,New York,NY,Remote relationship,,,Email re-open,
Cold,Formstack,Remote,--,Remote relationship,,,Email re-open,Also listed under past clients.
Cold,Momenta Pharmaceuticals,Cambridge,MA,Remote relationship,,,Drop,Acquired by J&J in 2020. Likely gone as a standalone.
Cold,IP.com,(verify),NY,Remote relationship,,,Email re-open,
Cold,MPX,(verify),--,Remote relationship,,,Email re-open,"Identity unclear, verify which MPX before outreach."
Current (met),Clean Harbors,Norwell,MA,Zone 1 · book this month,42 Longwater Dr,(781) 792-5000,In-person next step,HQ is inside route N1. Turn met into revenue with a co-managed or project ask.
Current (met),Resolute Management,Boston,MA,Zone 2 · day trip,125 High St Fl 10,,Book on-site meeting,"Contact on file: Edward AuCoin, Sr Mgr Business Systems (eaucoin@resolutemgmt.com)."
Current (met),Creative Office Resources,Boston (Seaport),MA,Zone 2 · day trip,44 Thomson Pl,(617) 956-4100,Book on-site meeting,
Current (met),TriMark USA,Mansfield,MA,Zone 2 · day trip,,,Book on-site meeting,Large foodservice distributor HQ.
Current (met),Sasaki,Boston,MA,Zone 2 · day trip,,,Book on-site meeting,"Design firm, moved to downtown Boston."
Current (met),Bournewood Health Systems,Brookline,MA,Zone 2 · day trip,,,Book meeting,Behavioral health.
Current (met),Replimune,Woburn,MA,Zone 2 · day trip,,,Book meeting,Also on the prior 100 target list. Warmest biotech door you have.
Current (met),LinkSquares,Boston,MA,Zone 2 · day trip,,,Book meeting,
Current (met),Mirick O'Connell,Worcester,MA,Remote relationship,,,Video meeting,"Law firm, ICP vertical."
Current (met),Community Healthlink,Worcester,MA,Remote relationship,,,Video meeting,
Current (met),Web Industries,Marlborough,MA,Zone 2 · day trip,,,Book meeting,
Current (met),SS&C Technologies,Windsor,CT,Remote relationship,,,Video meeting,
Current (met),Numerix,New York,NY,Remote relationship,,,Video meeting,
Current (met),Virginia Dare,Brooklyn,NY,Remote relationship,,,Video meeting,
Current (met),Goldberg Kohn,Chicago,IL,Remote relationship,,,Video meeting,
Current (met),Value City NJ,--,NJ,Remote relationship,,,Video meeting,
Current (met),West Central Behavioral Health,Lebanon,NH,Remote relationship,,,Video meeting,
Current (met),PGM Global,Montreal,QC,Remote relationship,,,Video meeting,
Current (met),Harvest Partners,New York,NY,Remote relationship,,,Video meeting,
Current (met),Arcadia Funds,Boston (verify),MA,Zone 2 · day trip,,,Book meeting,
Current (met),Cardiovascular Research Foundation,New York,NY,Remote relationship,,,Video meeting,
Past client,Decatur House Assisted Living,Sandwich,MA,Zone 1 · book this month,(verify address),,Drop by on a Cape run,"Past client, senior care. Win-back visit."
Past client,Snowbird Agility,Frederick,MD,Remote relationship,,,Email check-in,
Past client,Formstack,Remote,--,Remote relationship,,,Email check-in,Duplicate of cold list entry.
