Company,Route,Town,Street,Phone,IT Contact (ask for),Owner/Exec,Emp Est,Door Opener
Avedis Zildjian Company,N1 Norwell Accord Park,Norwell,22 Longwater Dr,(781) 871-2200,"James Clifford (Senior Director, Information Technology)","Thomas Young (Senior Vice President, Chief Financial Officer and Treasurer)",286,400 year old brand with modern e-commerce and a factory floor. Lead with plant uptime and security.
Radius Financial Group,N1 Norwell Accord Park,Norwell,"600 Longwater Dr, Ste 107",(877) 223-4800,Jake Gent (IT Support Specialist),David O'Connor (Chief Technology Officer),281,"GLBA safeguards and loan file security. Lead with compliance, MDR and endpoint management."
NVNA and Hospice (Norwell VNA),N1 Norwell Accord Park,Norwell,"120 Longwater Dr, Ste 104",(781) 659-2342,Samuel Lutz (It Help Desk Technician),Bj Snow (Chief Human Resources Officer),262,"Clinicians in the field on mobile devices with PHI. Lead with HIPAA, device management and help desk."
DIH Holding US (Hocoma),N1 Norwell Accord Park,Norwell,"77 Accord Park Dr, Ste D1",(617) 871-2101,"Haile Mitiku (Manager, Information Technology)",Jason Chen (Chief Executive Officer & Chairman),200,Public medtech company with FDA documentation needs. Lead with compliance ready IT and security.
Miniter Group,N1 Norwell Accord Park,Norwell,"600 Longwater Dr, Ste 301",(800) 646-4837,Wayne Brantley (Chief Information Officer),Julianne Gilpin (President & Chief Executive Officer),120,Insurance data plus bank clients means audits. Lead with SOC 2 support and security posture.
Snow & Jones,N1 Norwell Accord Park,Norwell,85 Accord Park Dr,(781) 878-3312,,Danielle Jones (President),90,"Multi branch distributor on one ERP. Lead with branch connectivity, uptime and ransomware defense."
Airxchange,N1 Norwell Accord Park,Rockland,85 Longwater Dr,(781) 871-4816,,Randall Steele (President & Chief Executive Officer),70,OEM manufacturer with lean office staff. Lead with co-managed IT and production uptime.
Buckley Associates,H2 West Hanover industrial,Hanover,385 King St,(781) 878-5000,"Devin Melo (Manager, Information Technology)",Robert Buckley (Founder),135,"12 locations and near 100M revenue on one ERP. Lead with uptime, security and branch support."
SRC Medical,H2 West Hanover industrial,Hanover,263 Winter St,(781) 826-9100,Lisa Raasch (Chief Information Officer),Roy Tinkham (President),102,FDA documentation and quality systems. Lead with compliance ready IT and uptime.
Hapco,H2 West Hanover industrial,Hanover,353 Circuit St,(781) 826-8801,Daniel McClelland (System Administrator),Fred DeSimone (General Manager),76,Formulations IP and production systems. Lead with security and backup.
Gem Gravure,H2 West Hanover industrial,Hanover,112 School St,(781) 878-0456,Matt Phung (IT Administrator),Joseph Gemelli (Founder),73,Third generation manufacturer with global customers. Lead with security and production uptime.
Cri-Tech (Daikin),H2 West Hanover industrial,Hanover,85 Winter St,(781) 826-5600,"Richard Park (Manager, Business Systems)",,54,Daikin owned but locally run plant. Lead with co-managed support for site systems.
South Shore Bank,S1 Weymouth/Hingham/3A coast,Weymouth,1530 Main St,(800) 419-1700,Lynn Tempesta (Vice President and Information Technology Operations Ma...),James Dunphy (President & Chief Executive Officer),221,"Exam and vendor management pressure with lean internal IT. Lead with vCISO, compliance alignment and MDR."
Electroswitch,S1 Weymouth/Hingham/3A coast,Weymouth,180 King Ave,(781) 335-5200,"Karen Roche (Manager, Corporate Information Systems)",,131,Production uptime and ransomware risk with a small office team. Lead with co-managed IT.
Coastal Heritage Bank,S1 Weymouth/Hingham/3A coast,Weymouth,195 Washington St,(781) 796-6050,"Margaret Ruuska (Vice President, Information Technology & Officer)",Richard Rowe (Director Chief Executive Officer),112,"Exam and vendor management pressure with lean internal IT. Lead with vCISO, compliance alignment and MDR."
Healthcare South,S1 Weymouth/Hingham/3A coast,Cohasset,223 Chief Justice Cushing Hwy Ste 101,(781) 383-6800,"Phillip Joy (Director, Information Technology Operations & Infrastru...)",,98,PHI and EHR uptime on a lean team. Lead with a HIPAA security risk assessment.
Massa Products,S1 Weymouth/Hingham/3A coast,Hingham,280 Lincoln St,(781) 749-4800,James Hall (Senior Software Systems Engineer & Director & Electrica...),Donald Massa (Chief Technical Officer & Chairman),94,Production uptime and ransomware risk with a small office team. Lead with co-managed IT.
Hingham Institution for Savings,S1 Weymouth/Hingham/3A coast,Hingham,55 Main St,(781) 783-1798,"Daniel Bagley (Vice President, Chief Information Officer)",Patrick Gaughen (President & Chief Operating Officer),92,"Exam and vendor management pressure with lean internal IT. Lead with vCISO, compliance alignment and MDR."
Hingham Lumber,S1 Weymouth/Hingham/3A coast,Cohasset,165 Chief Justice Cushing Hwy,(781) 749-4200,,William McNulty (Founder),90,Real office and operations inside the drive zone. Lead with dependable IT and security basics.
Dynavac,S1 Weymouth/Hingham/3A coast,Hingham,110 Industrial Park Rd,(781) 740-8600,,Joel Smolka (Vice President and General Manager),81,Production uptime and ransomware risk with a small office team. Lead with co-managed IT.
South Shore Orthopedics,S1 Weymouth/Hingham/3A coast,Hingham,2 Pond Park Rd Ste 102,(781) 337-5555,,,76,PHI and EHR uptime on a lean team. Lead with a HIPAA security risk assessment.
AJA International,S1 Weymouth/Hingham/3A coast,Scituate,809 Country Way,(781) 545-7365,Lin Sandar (System Engineer),William Hale (Founder),63,Production uptime and ransomware risk with a small office team. Lead with co-managed IT.
Rockland Federal Credit Union,R2 Rockland Weymouth/Union,Rockland,241 Union St,(781) 878-0232,Mark Federico (Chief Information Officer),Kristin VanBeek (Chief Executive Officer & President),297,"NCUA exams and vendor management pressure. Lead with vCISO, compliance alignment and MDR."
UPPAbaby,R2 Rockland Weymouth/Union,Rockland,276 Weymouth St,(781) 413-3000,"Darrell Van Meter (Director, Information Technology)",Bob Monahan (Chief Executive Officer & Co-Founder),136,"Consumer brand with e-commerce, EDI and product data to protect. Lead with security and uptime."
Polymer Corporation,R2 Rockland Weymouth/Union,Rockland,180 Pleasant St,(781) 871-4606,Ashwani Sharma (System Engineer),Jim Ryan (President),103,"100 person manufacturer, likely 0 to 2 IT staff. Lead with co-managed support and plant uptime."
Briggs Engineering,R2 Rockland Weymouth/Union,Rockland,"100 Weymouth St, Ste C2",(781) 871-6040,,Sean Skorohod (Testing Services President & Director),80,"CAD and survey data with municipal clients. Lead with backup, DR and file server performance."
National Coating,R2 Rockland Weymouth/Union,Rockland,105 Industrial Way,(800) 979-9332,,,48,Production scheduling and quality systems on aging infrastructure is common here. Ask about uptime.
Cutter Associates,R1 Rockland Exit14/Ledgewood,Rockland,"1050 Hingham St, Fl 1",(339) 469-0600,,Cindy Castellano (Chief Executive Officer),97,Financial services firm handling asset manager data. Lead with security posture and M365 hardening.
