Company,HQCity,Industry,EstEmp,Verdict,WhyNextMove
1910 Genetics,"Boston, MA",AI / Biotech,~80,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
6 River Systems,"Waltham, MA",Robotics,~300,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins. Wound down after the Ocado deal. Verify before spending any effort."
6K Inc.,"N. Andover, MA",Mfg / Tech,~200,No. Too far for routes,"N. Andover. 50 plus minutes. Email, call, or event motion."
Abacus Insights,"Boston, MA",AI / Data,~150,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Acme Monaco,"New Britain, CT",Manufacturing,~200,No. Out of region,"CT, NH, VT or NY. Email and call motion only."
Activ Surgical,"Boston, MA",AI / Robotics,~100,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Aktis Oncology,"Boston, MA",Biotech,~100,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Alpha-9 Oncology,"Boston, MA",Biotech,~80,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Arvinas,"New Haven, CT",Biotech,~430,No. Out of region,"CT, NH, VT or NY. Email and call motion only."
Beam Therapeutics,"Cambridge, MA",Biotech,~450,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins. IT contact on file from postcard pull: Matthew Lopes, Sr Mgr IT Business Partnership (mlopes@beamtx.com)."
Bexorg,"New Haven, CT",Biotech,~40,No. Out of region,"CT, NH, VT or NY. Email and call motion only."
Cardurion Pharma,"Burlington, MA",Biotech,~100,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Causaly,"Boston, MA",AI / Bio,~100,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Centessa Pharma,"Boston, MA",Biotech,~200,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
City Therapeutics,"Cambridge, MA",Biotech,~60,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Code Metal,"Boston, MA",AI / Hardware,~50,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Cohere Health,"Boston, MA",AI / Health,~300,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Darn Tough,"Northfield, VT",Manufacturing,~300,No. Out of region,"CT, NH, VT or NY. Email and call motion only."
Decagon,"Boston, MA",AI,~50,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Desktop Metal,"Burlington, MA",Mfg / Tech,~300,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Dimock Center,"Roxbury, MA",Healthcare,~300,DROP-OFF: MAYBE,Roxbury campus. Health center admin office may take a visit. Call first.
eGenesis,"Cambridge, MA",Biotech,~200,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Eleos Health,"Boston, MA",AI / Mental,~200,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Fenway Health,"Boston, MA",Healthcare,~500,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Form Energy,"Somerville, MA",CleanTech,~600,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Formlabs,"Somerville, MA",Manufacturing,~500,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Gemline,"Lawrence, MA",Consumer Mfg,~400,No. Too far for routes,"Lawrence. 50 plus minutes. Email, call, or event motion."
Globe Composite,"Stoughton, MA",Defense,~100,DROP-OFF: YES,"Stoughton, 20 min. Defense manufacturer, CMMC door opener. Pair with B1 route."
Goulston & Storrs,"Boston, MA",Law Firm,~400,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Harmonic,"Boston, MA",AI / Math,~40,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
